id;name;email;phone_number;birth_date;sex;passport;country_code;address;account_creation;pay_method;account_status
RicLeal1348;;ricleal1348@li3.pt;(351) 933 268 770;1955/12/09;M;RO704560;PT;Av Diogo Pinheiro, S/N4642-221 São João da Madeira;2015/10/17 18:10:30;credit_card;active
;Lucas Azevedo;lucaazevedo@li3.pt;(351) 969088849;1971/02/15;M;UN828255;PT;Avenida Alice Amorim, 232707-171 Ílhavo;2018/08/07 23:34:32;credit_card;active
DiogCastro;Diogo Castro;diogcastro@li3.pt;;1981/07/24;M;LX109345;PT;Rua Carlota Neto, 181297-846 Mêda;2010/10/30 19:13:56;credit_card;active
MaTorres;Marco Torres;matorres@li3.pt;+351289846755;1962/11/08;M;;PT;Av Mia Leite, 348961-972 Mirandela;2015/04/14 11:55:53;debit_card;active
;Gaspar Santos;gasantos@li3.pt;(351) 923 903 035;1982/11/02;M;HS555142;PT;Avenida Kévim Vieira, S/N5711-163 Sintra;2013/03/09 09:18:11;debit_card;active
BrJesus1585;Brian Jesus;brjesus1585@li3.pt;(351) 237722592;1998/05/22;M;;PT;Praça de D. Carlos I, S/N2911-757 Sabugal;2010/07/31 21:24:26;credit_card;inactive
BrLourenço1173;Brian Lourenço;brlourenço1173@li3.pt;(351) 916412287;1991/10/05;M;BB295395;PT;Rua Brito, S/N8674-042 Vale de Cambra;2012/09/05 08:24:11;;active
ÂngCruz;Ângelo Cruz;ângcruz@li3.pt;(351) 923775218;1978/12/23;M;NP683400;PT;Alameda Sandro Jesus, 510458-598 Santarém;2014/05/27 11:48:54;;active
MiGaspar916;Miguel do Gaspar;migaspar916@li3.pt;(351) 927 758 261;1967/06/11;M;YL349140;PT;Travessa Artur Cupertino de Miranda, 117926-934 Barcelos;;credit_card;active
BeSimões863;Beatriz de Simões;besimões863@li3.pt;(351) 269 072 697;1995/02/19;F;OI767634;PSG;Praça dos Heróis do Mar, 7012499-920 Ourém;2016/05/07 19:00:07;credit_card;active
FilLeite;Filipe Leite;filleite@li3.pt;(351) 243937938;1975/09/30;M;TU664181;PT;R. Kyara Matias, 952072-216 Ourém;2011/08/22 13:31:43;credit_card;TU664181
;Juliana Simões;jsimões589@li3.pt;(351) 915 401 107;1975/03/23;F;KE263687;PT;Av de José Régio, 489135-012 Lagoa;2018/08/06 07:22:39;credit_card;active
MateuLopes568;Mateus Lopes;mateulopes568@li3.pt;935 088 681;1958/06/15;;JT839062;PT;Avenida Valentim Garcia, 6196996-885 Guarda;2013/07/29 02:26:42;debit_card;Active
TatianaHenriques;Tatiana-Isabel Henriques;tatianahenriques.li3.pt;(351) 968110103;1970/05/24;F;DD764785;PT;Avenida Daniela Amorim, 645540-044 Cantanhede;2017/08/30 02:16:33;credit_card;active
JoAraújo;Joana Araújo;joaraújo@li3.pt;;1968/03/15;F;JI582733;PT;Alameda Lúcia Amaral, 470751-742 Paços de Ferreira;2010/05/31 05:02:40;credit_card;active
SimBarros;Simão de Barros;simbarros@li3.pt;920334869;1974/01/09;M;YD963523;PT;Av de Ferreira, 233485-648 Rio Maior;2015/01/12 00:18:07;credit_card;
MirPinho;Miriam Pinho;mirpinho@li3.pt;;1989/02/02;F;IE995671;PT;Rua Lopes, 626324-992 Cartaxo;2010/03/02 19:32:58;cash;active
AMarques-Brito650;Alice Marques-Brito;amarques-brito650@li3.pt;934 482 594;1969/07/24;F;;PT;Travessa de Gaspar, S/N9770-907 Ponta Delgada;2017/07/04 11:29:30;cash;active
PiMiranda;Pilar Miranda;pimiranda@li3.pt;(351) 969 424 772;2005/12/17;F;EU329768;PT;Praça Professor José Conde, 133451-116 Queluz;2019/12/18 09:43:37;;active
AmélNeto;Amélia Neto;amélneto@li3.pt;(351) 910 115 003;1994/12/01;F;PC810481;PT;Avenida de Mota, S/N6245-325 Lagos;2012/02/28 00:23:32;;active
AnDomingues1527;Ana Domingues;andomingues1527@li3.pt;(351) 255914223;1955/09/19;F;ZQ759250;PT;Praça de Henriques, 6562767-483 Valongo;2011/07/16 01:00:42;cash;
BriaMoreira1616;;briamoreira1616@li3.pt;921 210 141;1954/08/25;M;EP809474;PT;Av de Anjos, 236519-530 Seixal;2015/01/16 05:22:22;debit_card;active
;Paulo da Vicente;pvicente352@li3.pt;(351) 259063256;1955/08/28;M;YK076361;PT;Largo da Ponte da Lama, 861242-709 Paços de Ferreira;2016/09/08 18:03:43;debit_card;active
VitóVaz795;Vitória Vaz;vitóvaz795@li3.pt;915642211;1966/10/28;F;UT097833;PT;Travessa Matias, S/N9897-542 Seia;2017|09|21 12:08:34;credit_card;active
HPinto;Hugo Pinto;hpinto@li3.pt;+351967284829;1979/11/03;;GT744823;PT;Travessa de Silva, 685199-352 Maia;2020/04/15 23:09:13;debit_card;active
PaAndrade460;Patrícia Andrade;paandrade460@li3.pt;(351) 969409606;1974/02/14;F;YJ482573;PT;Travessa de Oliveira, 649672-527 Felgueiras;2011/02/10 13:05:44;debit_card;YJ482573
JFernandes;Joana Fernandes;jfernandes@li3.pt;912060614;1990/10/08;F;;PT;Praça Beatriz Soares, S/N3560-543 Peso da Régua;2010/07/03 17:42:39;credit_card;active
;Alexandre Andrade-Lourenço;aandrade-lourenço488@li3.pt;(351) 234740824;1977/07/12;M;OG170162;PT;Travessa do Calvário, 942527-872 Alcobaça;2019/03/17 01:12:50;debit_card;active
LeonoBorges2020;Leonor Borges;leonoborges2020@li3.pt;(351) 278897472;1950/02/12;F;CL326458;Y;Rua Santiago Azevedo, 90614-473 Beja;2019/10/30 13:56:46;cash;active
SandCorreia;Sandro Correia;sandcorreia@li3.pt;(351) 285 710 567;2005/11/20;M;QH012165;PT;Praça Oliveira, S/N3888-985 Amora;2013|03|16 18:26:54;debit_card;active
XCardoso820;Xavier Cardoso;xcardoso820@li3.pt;(351) 962 681 125;1969/08/27;M;;PT;Rua Gonçalves, 348086-417 Ribeira Grande;2016/03/19 15:49:24;cash;inactive
JoPacheco;Joaquim Pacheco;jopacheco@li3.pt;281172142;1966/09/19;M;;PT;Alameda Álvaro Henriques, 71426-334 Santa Cruz;2016/11/26 00:43:15;cash;active
NádBrito;Nádia Brito;nádbrito@li3.pt;(351) 966 351 187;1996/09/26;F;;PT;Largo das Nações, 244645-070 Estarreja;2015/07/04 05:12:27;cash;active
;Bryan Azevedo;bryazevedo127@li3.pt;216 417 420;1951/02/19;M;YO781641;PT;Travessa de Marques, S/N3032-416 Fiães;2013/04/04 16:07:57;credit_card;active
DMachado1458;Diana Machado;dmachado1458@li3.pt;(351) 925 240 238;1987/06/04;F;XI092660;PT;R. Vicente, 295532-241 São Salvador de Lordelo;2019/11/30 22:45:20;cash;
AdriaBranco1042;;adriabranco1042@li3.pt;(351) 917249850;1951/06/18;F;EP248792;PT;Travessa Lisandro Magalhães, 414247-579 Queluz;2016/10/13 15:06:38;cash;active
FiBarros196;Filipe Barros;fibarros196@li3.pt;(351) 222 666 121;1957/03/28;M;VS371098;PT;Avenida Anjos, 96524-903 Ílhavo;2012/02/25 22:37:12;credit_card;VS371098
RMoreira1677;Rúben Moreira;rmoreira1677@li3.pt;+351964424048;1969/06/03;M;XE349359;USD;Avenida João Jesus, 926391-540 São Salvador de Lordelo;2019/01/28 00:38:18;credit_card;active
NAntunes667;Noa da Antunes;nantunes667@li3.pt;+351969247856;1985/04/03;M;HK742397;PT;;2018/01/15 11:12:04;debit_card;active
MaPaiva1169;Manuel Paiva;mapaiva1169@li3.pt;;1993/07/22;M;WA221723;PT;Alameda Andrade, 54815-469 Vila Real de Santo António;2016/03/09 07:42:00;debit_card;active
MargMoura1155;Margarida Moura;margmoura1155@li3.pt;265535738;1977/06/05;F;HI613558;CIO;Rua Ferreira, 30136-431 Mangualde;2012/08/15 18:33:56;credit_card;active
;Ismael Nogueira;inogueira@li3.pt;(351) 935780860;1996/11/16;M;PC164526;PT;Av de Leal, 540370-146 Covilhã;2011/08/18 17:44:04;debit_card;active
EriRamos918;Erica Ramos;eriramos918@li3.pt;(351) 938065075;1954/06/29;;BO026280;PT;Alameda Ângela Cruz, 766485-321 Moura;2012/09/02 12:56:04;credit_card;active
ErAzevedo286;;erazevedo286@li3.pt;(351) 914 371 467;1992/07/11;F;UQ839792;PT;R. Victória Borges, 3508483-007 Santiago do Cacém;2011/09/26 09:22:25;credit_card;active
MicBatista;Micael Batista;micbatista@li3.pt;(351) 968 254 566;1977/01/27;M;RU726478;PT;Largo Benedita Cardoso, 100549-322 Matosinhos;2012/01/31 19:34:23;;active
AdrianLeal-Barros902;Adriana Leal-Barros;adrianleal-barros902@li3.pt;921767174;2005/06/14;F;UB966358;PT;Rua de Castro, 80949-570 Macedo de Cavaleiros;;debit_card;active
LiBorges;Lisandro Borges;liborges@li3.pt;964944176;1988/05/29;M;ZV146953;PT;Avenida da Foz, 806296-519 Vale de Cambra;2020/02/11 09:52:24;;active
SanMonteiro1813;Sandro Monteiro;sanmont;(351) 925 607 588;1974/03/16;M;OY490959;PT;Alameda Vaz, S/N1303-987 Valpaços;2015/11/19 11:03:44;credit_card;active
GabTavares-Valente751;Gabriel Tavares-Valente;gabtavares-valente751@li3.pt;(351) 937 173 470;1971/03/19;M;KD726187;PT;Praça de Fonseca, 93813-932 Amarante;2013/07/22~02:00:39;cash;active
;Matilde Fernandes-Monteiro;matfernandes-monteiro@li3.pt;964 382 940;1966/12/14;F;JM783673;PT;Alameda de Baptista, 789608-408 Paredes;2018/10/02 07:20:16;credit_card;active
FCosta;Filipa Costa;fcostaatli3.pt;(351) 919768516;1992/11/14;F;YI892603;PT;Travessa das Mimosas, 5747529-485 Ponta Delgada;2010/02/15 07:23:16;debit_card;active
;Laura-Catarina Andrade;laurandrade77@li3.pt;+351915592196;1976/11/25;F;CF553771;PT;Largo Dinis Leite, 583804-037 Valongo;2013/05/14 00:16:06;debit_card;active
GabrieVicente;Gabriel Vicente;gabrievicente@li3.pt;(351) 967491802;1977/12/30;M;;PT;R. de Leal, 8049106-316 Viseu;2010/10/29 19:40:27;credit_card;active
LuciPinho;Luciana Pinho;lucipinho@li3.pt;(351) 220 101 684;1951/11/10;F;DF087242;PT;Travessa de Valente, 92757-221 Pombal;2011/07/15 04:03:01;cash;DF087242
MaNascimento651;Mariana Nascimento;manascimento651@li3.pt;(351) 224 829 776;1974/05/30;F;JW000732;PT;Travessa de Campolide, 800597-107 Rebordosa;28/05/2001;cash;active
CristiOliveira;Cristiano Oliveira;cristioliveira@li3.pt;(351) 926214976;1993/07/21;;DV580129;PT;Alameda das Pirogas, S/N6928-368 Vila Nova de Santo André;2018/10/04 07:11:08;cash;active
JoãCampos193;João do Campos;joãcampos193@li3.pt;918 210 029;1969/08/26;M;XX233943;PT;Rua República Argentina, S/N4840-832 Funchal;2016/06/10~06:46:20;debit_card;Active
DeLima;Denis Lima;delima@li3.pt;938088012;1989/12/12;M;HI444006;LUD;Rua de Coelho, S/N8862-572 Elvas;2020/09/01 20:32:57;debit_card;active
JaiOliveira1000;Jaime de Oliveira;jaioliveira1000@li3.pt;;1976/09/27;M;XH783926;PT;Praça Bernardo Batista, 29868-163 Mealhada;2019/08/09 13:00:07;cash;active
GuiNeto1432;Guilherme Neto;guineto1432@li3.pt;(351) 928816573;1987/03/03;M;EC474761;PT;Travessa Barbosa, S/N2265-406 Aveiro;2018/11/14 07:09:15;;inactive
PatNogueira;Patrícia Nogueira;patnogueira@li3.pt;(351) 964829196;1950/08/09;F;TS221190;PT;Largo Panorâmica Edgar Cardoso, 1916799-031 Santa Maria da Feira;2017/03/26 17:36:22;cash;TS221190
ConstançPinho950;;constançpinho950@li3.pt;928837425;1952/05/16;F;ID322520;PT;Largo de Paiva, 655189-162 Trancoso;2011/04/03 06:07:13;debit_card;active
ValentinaAmaral720;Valentina-Camila Amaral;valentinaamaral720@li3.pt;298 913 389;1962/04/08;F;;PT;R. de Reis, 9075295-731 Amadora;2019/08/05 05:22:38;cash;active
AndCardoso1305;André Cardoso;andcardoso1305@li3.pt;938 664 819;1991/06/29;M;BH903656;PT;;2013/01/31 06:41:49;cash;active
AméliAnjos;Amélia Anjos;amélianjos@li3.pt;(351) 267307935;1959/02/13;F;GV321115;QSY;Travessa de Macedo, 305809-491 Chaves;2016/09/14 01:18:50;cash;active
ARibeiro-Faria644;André Ribeiro-Faria;aribeiro-faria644@li3.pt;208 657 494;1971/01/29;M;YI991904;PT;;2019/11/10 06:31:28;cash;active
XavCarvalho1268;;xavcarvalho1268@li3.pt;917 109 172;1972/09/12;M;HL180619;PT;Largo Santiago Matias, S/N5303-745 Braga;2020/12/27 20:52:35;debit_card;active
CarAssunção255;Carolina Assunção;carassunção255@li3.pt;(351) 915188017;1968/01/23;F;IK506013;PT;Travessa de Campos, 964505-221 Sines;2013/10/04 06:59:11;cash;IK506013
Daniela-BiancTavares;Daniela-Bianca Tavares;daniela-bianctavares@li3@pt;(351) 910459933;1991/01/10;F;TK704338;PT;Rua do Tronco, 770831-664 Quarteira;2010/05/20 05:28:25;debit_card;inactive
;Jorge Vicente;jorvicente@li3.pt;933 107 583;1998/05/28;M;YE912158;PT;R. de D. Afonso Henriques, 586249-879 Trancoso;2019/02/18 22:23:47;credit_card;active
MaCarvalho1128;Marco de Carvalho;macarvalho1128.li3.pt;928529040;1993/03/05;M;ZM503306;PT;Praça Batista, 837467-306 Horta;2011/08/06 14:50:41;cash;active
AlíciPacheco1408;Alícia Pacheco;alícipa;(351) 928 483 558;1969/02/26;F;BV191561;PT;Avenida Anjos, S/N8484-857 Santana;2011/05/12 12:44:02;cash;active
DaviSousa1074;David da Sousa;davisousa1074@li3.pt;+351231841648;1997/09/19;M;EL350297;PT;Av Lourenço, S/N9119-731 Póvoa de Varzim;2012/04/17 06:26:55;debit_card;EL350297
IsaBarbosa1366;Isabel Barbosa;isabarbosa1366@li3.pt;(351) 919016732;1951/10/06;;CT947798;PT;Avenida da Quinta de Santo António, 289506-264 Gafanha da Nazaré;2015/03/03 14:07:44;debit_card;ACTIVE
ÂngelMatias;Ângela Matias;ângelmatias@li3.pt;+351920873541;1979/03/01;F;CA703154;PT;;2013/04/26 20:22:58;cash;active
NunNogueira1678;Nuno Nogueira;nunnogueira1678@li3.pt;(351) 220246888;1972/12/09;M;JM933178;PT;;2012/02/27 02:14:17;debit_card;active
Ana-BGonçalves1116;Ana-Beatriz Gonçalves;ana-bgonçalves1116@li3.pt;(351) 918 202 936;1953/05/17;F;GF651059;PT;Avenida Joaquim Gaspar, 4924276-527 Mealhada;2012|06|02 18:44:11;cash;active
ÍAmorim;Íris Amorim;íamorim@li3.pt;(351) 933 607 768;1976/01/14;F;RR217190;PT;Rua Carneiro, S/N9380-546 Póvoa de Santa Iria;2018/01/31 08:30:05;credit_card;RR217190
RenatPires;Renato Pires;renatpires@li3.pt;(351) 914537930;1968/11/08;M;DJ485334;PT;R. Pacheco, 862619-158 Barcelos;2017/05/05~00:45:07;credit_card;active
SaAnjos-Cruz;Salvador Anjos-Cruz;saanjos-cruz@li3.pt;;1993/08/21;M;CP929096;PT;R. de Borges, 1745927-243 Trancoso;2020/04/12 12:03:41;debit_card;active
IrFonseca-Lourenço;Irina Fonseca-Lourenço;irfonseca-lourenço@li3.pt;+351297945014;1993/02/14;F;;PT;Rua da Baleia, 286764-007 Lagos;2017/03/09 04:58:00;credit_card;active
JoeLeite;Joel do Leite;joeleiteatli3.pt;+351964021823;1969/04/12;M;HW263902;PT;Largo Luna Ribeiro, 378048-699 Ponte de Sor;2016/06/20 03:55:42;cash;active
ÁMorais87;Álvaro Morais;ámorais87@li3.pt;+351912373630;1996/10/23;M;PE389036;PT;;2017/10/15 15:24:16;debit_card;active
MicOliveira;Micael Oliveira;micoliveira@li3.pt;(351) 921 419 299;1977/12/10;;VT456365;PT;Praça Tiago Vaz, S/N4046-073 Gouveia;2011/05/11 16:36:33;debit_card;active
LiSoares;Lia Soares;lisoares@li3.pt;;1988/11/22;F;CL929768;PT;Av de Jesus, 6210610-205 Lagoa;2011/03/16 17:24:55;debit_card;active
VítMiranda328;Vítor do Miranda;vítmiranda328@li3.pt;(351) 910 432 069;1977/11/10;M;YT359999;PT;Praça de Marques, S/N0238-411 Trancoso;2013/12/20 23:43:27;;active
DaCorreia112;David Correia;dacorreia112@li3.pt;;1976/07/28;M;JV694128;PT;Praça Torres, 855875-442 Trofa;2015/07/19 18:50:14;debit_card;active
RúbeSoares1676;Rúben Soares;rúbesoares1676@li3.pt;(351) 928892732;1953/04/30;M;;PT;Praça das Necessidades, 44723-026 Vila Nova de Famalicão;2012/11/06 17:38:51;debit_card;active
LePacheco;Leonardo Pacheco;lepacheco@li3.pt;(351) 923836049;1957/05/19;M;XV786178;PT;Av da Agra do Amial, S/N6349-378 Lisboa;2015/10/21 05:40:48;credit_card;
HeleMatos;Helena Matos;helematos@li3.pt;+351221313244;1955/05/30;F;;PT;Rua do Rego Lameiro, 577863-568 Fátima;2014/06/24 20:38:30;cash;active
KévVicente;Kévim Vicente;kévvicente@li3.pt;+351966164727;1976/02/12;M;WO370614;PT;Rua de Maia, 810497-670 Ribeira Grande;2019/11/01 16:53:08;credit_card;WO370614
BenediFigueiredo739;Benedita Figueiredo;benedifigueiredo739@li3@pt;928 879 059;2003/12/12;F;JT583006;PT;Travessa Afonso Freitas, 6266666-566 Lourosa;2018/09/26 13:01:17;cash;inactive
TeCarneiro-Matos;Teresa Carneiro-Matos;tecarneiro-matos@li3.pt;(351) 926 409 123;1962/07/30;;AB696089;PT;R. Paiva, 262083-351 Serpa;2010/10/23 06:25:26;credit_card;active
HelenGarcia;Helena Garcia;helengarcia@li3@pt;246 471 788;1961/05/14;F;JI620483;PT;Travessa Oliveira, 556335-640 Cantanhede;2013/10/07 10:53:55;credit_card;active
ToAlves461;;toalves461@li3.pt;(351) 920128211;1996/04/29;M;JM081322;PT;Largo de Antunes, 72680-169 Torres Novas;2013/02/26 22:22:22;credit_card;active
HuSantos1576;Hugo Santos;husantos1576@li3@pt;(351) 965815711;1979/01/08;M;MT803898;PT;Rua Loureiro, 112531-610 Ponta Delgada;2017/05/29 21:59:21;cash;active
DeAzevedo;Denis Azevedo;deazevedo@li3.pt;917696933;1960/02/21;M;JH417094;HIW;Av da Ribeira, 1882623-090 Vendas Novas;2020/01/10 19:02:10;cash;inactive
MNogueira1328;Mara Nogueira;mnogueira1328@li3.pt;+351284843756;12:09:48 AM/23/04/2003;F;HA830065;PT;Av Salomé Nunes, 985031-935 Vizela;2012/11/14 14:05:03;cash;active
GonJesus;Gonçalo Jesus;gonjesus@li3.pt;(351) 915 795 859;1996/09/20;M;ZI564783;UDM;Praça de Antunes, S/N3855-616 Ponte de Sor;2017/09/09 11:37:19;debit_card;active
MatildTeixeira;Matilde Teixeira;matildteixeira@li3.pt;283 229 207;1954/07/22;F;VZ115009;PT;;2013/04/22 01:15:19;debit_card;active
AliPacheco-Barbosa268;Alice Pacheco-Barbosa;alipacheco-barbosa268@li3.pt;966 044 854;1984/01/30;F;XM439567;PT;;2018/05/05 02:50:25;cash;active
ErLourenço542;Erica Lourenço;erlourenço542@li3.pt;+351937831268;;F;RN351907;PT;Praça Cardoso, 398226-321 Vila do Conde;2015/04/25 07:40:07;debit_card;active
LVaz1432;Lia Vaz;lvaz1432@li3.pt;(351) 915634321;1966/12/31;F;LF399637;PT;;2012/06/18 14:52:30;credit_card;active
RodrigRodrigues655;Rodrigo Rodrigues;rodrigrodrigues655@li3.pt;(351) 968974721;1986/01/14;M;NA794872;PT;;2011/05/05 05:52:58;debit_card;active
;Isabel-Flor Domingues;isadomingues823@li3.pt;(351) 913659846;1981/12/16;F;SZ087258;PT;R. Rui Fernandes, 589070-242 Penafiel;2010/06/20 20:07:13;cash;active
IsaMelo85;;isamelo85@li3.pt;(351) 937 888 776;1999/06/19;F;DZ631419;PT;Av Carvalho, 504744-117 Gondomar;2018/09/27 04:30:24;credit_card;inactive
JulianPinto;Juliana do Pinto;julianpinto@li3.pt;;1991/03/27;F;TU777728;PT;R. da Ponte da Lama, 170736-311 Fundão;2013/08/15 22:20:38;cash;active
GabrLeite1137;Gabriela Leite;gabrleite1137@li3.pt;(351) 967 792 779;29/08/2012;F;UV417116;PT;Avenida Amaral, 668946-158 Olhão;2014/07/10 01:04:59;cash;active
CamilMiranda-Matos;;camilmiranda-matos@li3.pt;(351) 965111774;1993/03/06;F;AK529112;PT;Rua Cardoso, 282278-938 Bragança;2014/12/07 05:01:27;cash;active
IsAntunes;Isabel Antunes;isantunes@li3.pt;;1953/06/17;F;DQ258984;PT;Largo de Leal, 90605-858 Barcelos;2018/07/30 23:26:53;cash;active
RafCarneiro1746;Rafaela Carneiro;rafcarneiro1746@li3.pt;(351) 966801060;1976/05/21;F;EE635785;PT;Largo Alice Rocha, 178942-497 Lixa;2017/12/16 04:46:32;;active
DavLeal1726;David Leal;davleal1726@li3.pt;+351969099283;1983/03/19;M;NP064711;PT;;2016/05/30 21:26:54;credit_card;active
MCruz466;Manuel Cruz;mcruz466@li3.pt;(351) 929 107 311;1997/06/28;M;RZ963098;PT;Praça de Carvalho, 8764452-423 Caldas da Rainha;2016/10/27 15:55:37;credit_card;
DGuerreiro;Diego Guerreiro;dguerreiro@li3.pt;918 237 922;1966/01/16;M;;PT;Rua Figueiredo, 734814-903 Paços de Ferreira;2018/05/25 08:32:12;cash;active
;Helena Silva;hesilva161@li3.pt;291 620 005;1992/12/05;F;YX650667;PT;Travessa de São Vicente de Paulo, 432817-605 Queluz;2015/11/24 18:53:48;debit_card;active
;Valentim Neto-Guerreiro;valenneto-guerreiro379@li3.pt;(351) 916838791;1955/09/27;M;DI566646;PT;Praça Bruno Maia, 333215-247 Silves;2016/02/19 19:10:38;credit_card;active
SeAmorim;Sebastião Amorim;seamorim@li3.pt;+351917299900;1979/05/03;M;HQ603094;O;Praça Nascimento, S/N6892-086 Póvoa de Santa Iria;2016/03/13 12:51:04;debit_card;ACTIVE
BMarques442;;bmarques442@li3.pt;+351969745574;1952/05/17;F;KW911697;PT;Av Laura Maia, 9067615-013 Póvoa de Varzim;2010/04/28 06:50:44;debit_card;Active
;Vítor Melo;vímelo72@li3.pt;(351) 961983423;1957/12/11;M;QY885446;PT;Alameda Sophia de Mello Breyner Andresen, 584733-252 Trancoso;2011/04/12 15:45:06;cash;active
DAlves;;dalves@li3.pt;921 908 266;1968/03/18;M;VY024788;PT;Av de Palma, 8548186-527 Beja;2015/11/27 06:43:26;debit_card;active
SPinho687;Simão Pinho;spinho687atli3.pt;(351) 920 285 084;1971/08/14;M;KM090325;PT;Praça Isabel Machado, 419465-794 Viseu;2019/05/24 19:00:24;credit_card;active
SérCoelho;Sérgio do Coelho;sércoelho@li3.pt;914295387;1995/12/09;M;FB429051;PT;Alameda Vieira, 221560-500 Alverca do Ribatejo;2016/05/30 08:22:48;credit_card;FB429051
SaAssunção;Sara Assunção;saassunção@li3.pt;(351) 264907309;1959/03/25;F;HD628894;PT;;2017/03/28 03:07:00;cash;active
RiAlmeida552;;rialmeida552@li3.pt;(351) 287 711 697;1979/10/19;M;JE117528;PT;Av de Araújo, 3865084-215 Gouveia;2018/05/08 14:06:53;credit_card;active
AmélCosta;Amélia Costa;amélcosta@li3.pt;+351202079081;30/06/2011;F;HD038048;PT;Alameda Carvalho, 160894-907 Chaves;2020/08/28 11:56:00;cash;active
AlexandrPacheco;Alexandre Pacheco;alexandrpacheco@li3.pt;246 310 969;1996/07/28;M;QU704470;PT;;2019/01/31 17:03:12;debit_card;active
BrunReis584;Bruna Reis;brunreis584@li3.pt;;2005/12/09;F;AT408970;PT;Largo Martim Baptista, 269176-119 Amora;2013/04/15 16:02:19;debit_card;active
TCarvalho;Tomás Carvalho;tcarvalho@li3.pt;;1991/07/11;M;XG487059;PT;Largo de Neves, 819537-799 Rio Tinto;2017/09/28 04:49:29;cash;active
SPinho;Sofia Pinho;spinho@li3.pt;(351) 227624799;1977/05/20;F;QS154226;PT;R. de Loureiro, 384213-926 Pinhel;2012/03/06 16:04:13;;active
JoãGaspar1321;João Gaspar;joãgaspar1321@li3.pt;(351) 911794658;1960/04/13;M;DQ560039;B;Rua de Godim, 569521-331 Leiria;2016/07/17 11:12:03;credit_card;active
;João Cunha;jcunha@li3.pt;(351) 240 857 013;2003/12/21;M;QI822233;PT;Praça Mélanie Pereira, S/N1147-779 Funchal;2015/02/28 22:09:43;debit_card;active
RaqSilva-Matias;Raquel Silva-Matias;raqsilva-matias@li3.pt;(351) 967431160;1957/06/17;;WZ601317;PT;Rua Associação Empresarial de Portugal, 464304-540 Mirandela;2019/05/31 14:51:30;credit_card;active
ArtPaiva-Gonçalves;;artpaiva-gonçalves@li3.pt;916 483 530;1951/10/01;M;WE864150;PT;Avenida Matias, 5961299-601 Pinhel;2019/12/04 01:14:16;cash;active
NunPereira;Nuno Pereira;nunpereira@li3.pt;(351) 961670773;1966/09/12;M;AI855840;PT;Travessa Esteves, 3828859-498 Marinha Grande;2019/04/06 09:20:08;credit_card;AI855840
BNeto1180;Brian Neto;bneto1180.li3.pt;276 577 566;1954/08/08;M;TX965154;PT;Travessa Matilde Pinto, 7518011-771 Castelo Branco;2010/12/26 21:26:24;credit_card;active
LeonardMagalhães1472;Leonardo Magalhães;leonardmagalhães1472atli3.pt;966640463;1962/02/15;M;ZF699757;PT;Avenida Mário Soares, 3590536-163 Costa da Caparica;2017/01/22 04:36:11;cash;active
SiAzevedo520;Simão Azevedo;siazevedo520atli3.pt;(351) 963258167;1953/10/22;M;OQ440615;PT;Rua Manuel Correia, 77697-502 Vila Nova de Foz Côa;2010/02/26 03:28:26;cash;active
AlBarros1313;Alícia Barros;albarros1313.li3.pt;(351) 934551361;1950/11/16;F;GW091937;PT;R. da Estiva, 135032-713 Vila Nova de Famalicão;2016/03/01 02:14:29;cash;active
AndreiaCosta;Andreia-Erica Costa;andreiacosta@li3.pt;934382161;1958/05/27;;DR329550;PT;Rua Alice Azevedo, 7123529-572 São João da Madeira;2013/08/06 11:50:38;credit_card;active
MaRodrigues;Matias Rodrigues;marodrigues@li3.pt;(351) 928 619 710;1990/04/27;M;HJ610439;PT;Rua de Martins, 752311-679 Leiria;2018/03/12~21:14:55;debit_card;inactive
IvaPaiva;Ivan Paiva;ivapaiva@li3.pt;(351) 252318053;1958/12/08;M;;PT;Alameda do Tejo, 3832780-997 Oliveira de Azeméis;2020/04/16 03:47:34;cash;active
;Diogo Machado;diogmachado@li3.pt;(351) 228970797;1996/12/14;M;GD437952;PT;Praça Márcio Pinheiro, 560656-328 Almeirim;2020/03/17 13:44:46;debit_card;active
JuliVicente;Juliana Vicente;julivicente@li3.pt;(351) 910 318 320;1977/12/24;F;FE518982;PT;Rua Torres, 1378403-366 Marinha Grande;23/07/2014;debit_card;active
PTavares-Gomes1631;Patrícia Tavares-Gomes;ptavares-gomes1631@li3.pt;;1966/06/25;F;MB262838;PT;Praça Garcia, 296923-242 Olhão;2014/12/06 22:55:16;cash;active
AndrVieira;Andreia do Vieira;andrvieira@li3.pt;(351) 930347670;;F;KH750803;PT;Av Daniel Borges, 6655588-680 Peniche;2014/11/19 18:20:50;debit_card;active
RuFreitas56;Rui Freitas;rufreitas56@li3.pt;+351964838441;1979/11/19;M;JZ757611;PT;Praça da Rainha D. Leonor, 40484-814 Reguengos de Monsaraz;2014/03/31 22:47:53;credit_card;
BeatrCruz-Fernandes;Beatriz Cruz-Fernandes;beatrcruz-fernandes@li3.pt;;1971/04/04;F;GS573264;PT;Travessa Amália Rodrigues, 595700-623 Loures;2012/09/29 08:09:12;credit_card;active
SBarros69;;sbarros69@li3.pt;924096897;1972/03/13;M;MN069950;PT;Rua Cláudio Nunes, 69880-313 Valpaços;2011/11/19 10:01:04;credit_card;active
